Company names,links,Category
FAURECIA SIEGES D AUTOMOBILE SA,"https://www.faurecia.com/sites/groupe/files/documents/FAU2022_FORVIA_RA_EN_MEL_V2.pdf
https://www.faurecia.com/sites/groupe/files/newinvest/documents/FAU2021_RA_EN_2021_02_18_MeL.pdf",Other
DANA INCORPORATED,https://danaincorporated.gcs-web.com/,Other
FLEX N GATE INC,"https://flex-n-gate.com/wp-content/uploads/2023/10/CSR-Report-EN.pdf
https://flex-n-gate.com/wp-content/uploads/2023/10/CSR-Report-EN.pdf",Other
APTIV SERVICES US LLC,https://www.aptiv.com/en/legal-compliance/annual-reports,Other
ROBERT BOSCH GMBH,https://www.annualreports.com/Company/bosch,Other
LG CHEM LTD,https://www.lgchem.com/company/investment-information/financial-information/financial-summary,Other
DETROIT MANUFACTURING SYSTEMS LLC,https://www.dmsna.com/our-company/,Other
YAZAKI CORP,"https://www.yazaki-europe.com/fileadmin/user_upload/Sustainability_Report_2022.pdf
https://www.yazaki-group.com/en/csr/index.html",Other
VALEO SA,https://www.valeo.com/wp-content/uploads/2024/03/2023-valeo-consolidated-financial-statements_en.pdf,Other
NEXTEER AUTOMOTIVE CORPORATION,https://www.nexteer.com/annual-interim-reports/,Other
YANFENG GLOBAL AUTOMOTIVE INTERIORS SYSTEMS CO LTD,https://www.yanfeng.com/en/our-business,Other
"RASSINI, S.A.B. DE C.V.","https://www.rassini.com/Rassini-annual-Sustainability-Report-2022.pdf
https://www.annualreports.com/HostedData/AnnualReportArchive/h/NYSE_HXL_2021.pdf",Other
GENERALE DES ETABLISSEMENTS MICHELIN CIE,https://www.michelin.com/investisseur/rapport-annuel-documents-legaux-reglementes,Other
ARCONIC,https://www.annualreports.com/Company/arconic-inc,Other
"CITIC DICASTAL CO., LTD.",https://www.citic.com/ar2022/en/,Other
KOSTAL AUTOMOBIL ELEKTRIK GMBH & CO. KG,https://www.kostal-automobil-elektrik.com/en-gb/unternehmen/zahlen-daten-fakten/,Other
BENTELER AUTOMOBILTECHNIK GMBH,https://www.benteler.com/en/downloads/,Other
"SAMSUNG SDI CO., LTD.",https://www.samsungsdi.com/index.html,Other
IOCHPE MAXION S/A,https://www.iochpe.com.br/en/financial-information/financial-spreadsheet/,Other
TUPY MEXICO SALTILLO SA DE CV,https://ri.tupy.com.br/en/financial-information/quarterly-and-annual-results/,Other
VEONEER INC,https://www.veoneer.com/en/reports-presentations-transcripts,Other
BRIDGESTONE CORP,https://www.bridgestone.com/corporate/library/annual_report/,Other
BEIJING WEST INDUSTRIES CO LTD,http://www.bwi-intl.com.hk/?listen/id/234.html,Other
HI LEX CORP,https://www.hi-lex.co.jp/e/earnings_report/,Other
STRATTEC SECURITY CORPORATION,https://strattec.gcs-web.com/financial-reports,Other
SAINT GOBAIN SA,https://www.saint-gobain.com/en/finance/financial-results,Other
KORENS INC.,https://eng.koreanre.co.kr/sub.asp?maincode=503&sub_sequence=523&sub_sub_sequence=&exec=list&strBoardID=kui_523,Other
BURELLE SA,https://burelle.fr/publications/rapports-annuels/,Other
EUROTRANCIATURA MEXICO SA DE CV,https://www.euro-group.it/financial-information,Other
TUPY SA,https://ri.tupy.com.br/en/financial-information/annual-report/,Other
ARCELORMITTAL FLAT CARBON EUROPE S.A.,https://corporate.arcelormittal.com/corporate-library/reporting-hub?type=Annual,Other
INDUSTRIAS ALEGRE SA,https://www.ialegre.com/en/empresa/proposito,Other
STONERIDGE INC,https://www.stoneridge.com/annual-reports/,Other
VALEO LIGHTING SYSTEMS NORTH AMERICA LLC,https://www.valeo.com/en/financial-publications-releases/,Other
GURU NANAK AUTO ENTERPRISES LIMITED,https://www.gurunanakauto.com/,Other
HYUNDAI WIA MEXICO S DE RL DE CV,https://en.hyundai-wia.com/investment/audit_report.asp?keyField=NEW_YEAR&keyWord=,Other
FELTEX AUTOMOTIVE,https://kap.co.za/results-and-reports-archive/,Other
HONEYWELL INTERNATIONAL,https://honeywell.gcs-web.com/financial-information/annual-reports,Other
MINTH INTERNATIONAL MACAO COMMERCIAL OFFSHORE LIMITED,https://www.minthgroup.com/?post_type=financial&lang=en,Other
"TOPY AMERICA, INC.",https://www.topy.co.jp/en/stock/library/securities.html,Other
PRECISION CAMSHAFTS LIMITED,https://pclindia.in/index.php/annual-report/,Other
THAI STEEL CABLE PUBLIC COMPANY LIMITED,https://www.tscpcl.com/financialstatement,Other
SANOK RC S.A.,"sanokrubber.com 
",Other
